STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD_NM,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT
2015,3,골목상권,한식음식점,867838625.5877016
2015,3,관광특구,분식전문점,3648158865.3333335
2015,3,관광특구,양식음식점,9336356897.0
2015,3,관광특구,일식음식점,3278894548.8333335
2015,3,관광특구,중식음식점,2214101344.6666665
2015,3,관광특구,치킨전문점,1233159638.8333333
2015,3,관광특구,커피·음료,10691381699.0
2015,3,관광특구,패스트푸드점,2099302167.1666667
2015,3,관광특구,한식음식점,24610569157.833332
2015,3,발달상권,분식전문점,794356570.2583333
2015,3,발달상권,양식음식점,1248007965.138614
2015,3,발달상권,일식음식점,876359217.1516588
2015,3,발달상권,중식음식점,471196360.0235849
2015,3,발달상권,치킨전문점,473100000.28333336
2015,3,발달상권,커피·음료,1654321029.562753
2015,3,발달상권,패스트푸드점,509611393.32275134
2015,3,발달상권,한식음식점,5157585317.107142
2015,3,전통시장,분식전문점,129437364.18518518
2015,3,전통시장,양식음식점,293937256.48717946
2015,3,전통시장,일식음식점,123338958.77192983
2015,3,전통시장,중식음식점,77480865.72941177
2015,3,전통시장,치킨전문점,92436208.05172414
2015,3,전통시장,커피·음료,143687147.93965518
2015,3,전통시장,패스트푸드점,138064373.8961039
2015,3,전통시장,한식음식점,749815448.897561
2015,4,골목상권,분식전문점,127131326.71378505
2015,4,골목상권,양식음식점,246844469.80810812
2015,4,골목상권,일식음식점,177216264.02116403
2015,4,골목상권,중식음식점,136376135.13082707
2015,4,골목상권,치킨전문점,125763874.84733893
2015,4,골목상권,커피·음료,155219087.33371428
2015,4,골목상권,패스트푸드점,127627786.89514562
2015,4,골목상권,한식음식점,934801548.155242
2015,4,관광특구,분식전문점,4046414353.1666665
2015,4,관광특구,양식음식점,10049907908.666666
2015,4,관광특구,일식음식점,3847685127.6666665
2015,4,관광특구,중식음식점,2603091446.5
2015,4,관광특구,치킨전문점,1121434433.0
2015,4,관광특구,커피·음료,10382683877.166666
2015,4,관광특구,패스트푸드점,2017988413.8333333
2015,4,관광특구,한식음식점,28397109115.333332
2015,4,발달상권,분식전문점,852653626.7708334
2015,4,발달상권,양식음식점,1341604168.522388
2015,4,발달상권,일식음식점,1005859649.2238095
2015,4,발달상권,중식음식점,548997744.6542056
2015,4,발달상권,치킨전문점,454093795.9776536
2015,4,발달상권,커피·음료,1590130824.5748987
2015,4,발달상권,패스트푸드점,537181985.4444444
2015,4,발달상권,한식음식점,5804781128.752988
2015,4,전통시장,분식전문점,140749118.29447854
2015,4,전통시장,양식음식점,324304159.05263156
2015,4,전통시장,일식음식점,134726973.21666667
2015,4,전통시장,중식음식점,95614273.43902439
2015,4,전통시장,치킨전문점,90148627.00854701
2015,4,전통시장,커피·음료,142670231.81512606
2015,4,전통시장,패스트푸드점,149322182.03846154
2015,4,전통시장,한식음식점,834160680.6368159
2016,1,골목상권,분식전문점,109031495.67852907
2016,1,골목상권,양식음식점,231958289.46721312
2016,1,골목상권,일식음식점,161707501.44191918
2016,1,골목상권,중식음식점,134849857.46814814
2016,1,골목상권,치킨전문점,123793682.4883402
2016,1,골목상권,커피·음료,136703998.8164196
2016,1,골목상권,패스트푸드점,122788279.96917148
2016,1,골목상권,한식음식점,852789033.79112
2016,1,관광특구,분식전문점,3507165447.8333335
2016,1,관광특구,양식음식점,8441712844.166667
2016,1,관광특구,일식음식점,4320995958.5
2016,1,관광특구,중식음식점,2528113059.6666665
2016,1,관광특구,치킨전문점,1132849156.3333333
2016,1,관광특구,커피·음료,9044631073.833334
2016,1,관광특구,패스트푸드점,2281061615.6666665
2016,1,관광특구,한식음식점,27415626500.333332
2016,1,발달상권,분식전문점,800678749.6638298
2016,1,발달상권,양식음식점,1259175954.2871287
2016,1,발달상권,일식음식점,959098331.6901408
2016,1,발달상권,중식음식점,518293751.85714287
2016,1,발달상권,치킨전문점,439532442.74860334
2016,1,발달상권,커피·음료,1391319459.358871
2016,1,발달상권,패스트푸드점,529026460.81578946
2016,1,발달상권,한식음식점,5245939258.808765
2016,1,전통시장,분식전문점,128338151.46875
2016,1,전통시장,양식음식점,298823412.9285714
2016,1,전통시장,일식음식점,153114377.7142857
2016,1,전통시장,중식음식점,97626209.56626506
2016,1,전통시장,치킨전문점,89487771.33050847
2016,1,전통시장,커피·음료,135365597.93333334
2016,1,전통시장,패스트푸드점,166942012.98630136
2016,1,전통시장,한식음식점,787834442.075
2016,2,골목상권,분식전문점,120772242.10011779
2016,2,골목상권,양식음식점,247358984.3148148
2016,2,골목상권,일식음식점,172343384.22549018
2016,2,골목상권,중식음식점,137123794.61380324
2016,2,골목상권,치킨전문점,135207182.38166896
2016,2,골목상권,커피·음료,165216358.24802706
2016,2,골목상권,패스트푸드점,124743728.60652591
2016,2,골목상권,한식음식점,891614909.6508577
2016,2,관광특구,분식전문점,3532587302.5
2016,2,관광특구,양식음식점,8533088817.0
2016,2,관광특구,일식음식점,4169606055.1666665
2016,2,관광특구,중식음식점,2399588881.0
2016,2,관광특구,치킨전문점,1224191744.0
2016,2,관광특구,커피·음료,9790264873.666666
2016,2,관광특구,패스트푸드점,2188322511.0
2016,2,관광특구,한식음식점,26448170271.0
2016,2,발달상권,분식전문점,814004771.2085106
2016,2,발달상권,양식음식점,1227673341.1921182
2016,2,발달상권,일식음식점,958731742.8309859
2016,2,발달상권,중식음식점,492195206.6650943
2016,2,발달상권,치킨전문점,484624676.3426966
2016,2,발달상권,커피·음료,1533929149.1365461
2016,2,발달상권,패스트푸드점,524474230.80526316
2016,2,발달상권,한식음식점,5146276489.23506
2016,2,전통시장,분식전문점,135899182.91304347
2016,2,전통시장,양식음식점,287087024.25581396
2016,2,전통시장,일식음식점,157431130.546875
2016,2,전통시장,중식음식점,95286346.83908045
2016,2,전통시장,치킨전문점,98815028.48333333
2016,2,전통시장,커피·음료,164297458.1512605
2016,2,전통시장,패스트푸드점,159751707.1891892
2016,2,전통시장,한식음식점,804885592.0
2016,3,골목상권,분식전문점,119079073.61084905
2016,3,골목상권,양식음식점,238777723.46456692
2016,3,골목상권,일식음식점,156686859.00239235
2016,3,골목상권,중식음식점,144195518.7419355
2016,3,골목상권,치킨전문점,132882776.8527027
2016,3,골목상권,커피·음료,166942733.5151176
2016,3,골목상권,패스트푸드점,127684429.89292543
2016,3,골목상권,한식음식점,869030363.878147
2016,3,관광특구,분식전문점,3627532709.5
2016,3,관광특구,양식음식점,9039885644.333334
2016,3,관광특구,일식음식점,3844841257.5
2016,3,관광특구,중식음식점,2405691548.8333335
2016,3,관광특구,치킨전문점,1204471464.5
2016,3,관광특구,커피·음료,10077585504.0
2016,3,관광특구,패스트푸드점,2604603420.6666665
2016,3,관광특구,한식음식점,25950013274.0
2016,3,발달상권,분식전문점,831472227.6652542
2016,3,발달상권,양식음식점,1261645517.3676472
2016,3,발달상권,일식음식점,921567558.7605634
2016,3,발달상권,중식음식점,512779083.67772514
2016,3,발달상권,치킨전문점,469121649.03296703
2016,3,발달상권,커피·음료,1635276028.5943775
2016,3,발달상권,패스트푸드점,562694965.5947368
2016,3,발달상권,한식음식점,5120419533.099602
2016,3,전통시장,분식전문점,143460919.14814815
2016,3,전통시장,양식음식점,331349877.38095236
2016,3,전통시장,일식음식점,143388794.98412699
2016,3,전통시장,중식음식점,102156958.7159091
2016,3,전통시장,치킨전문점,100934863.475
2016,3,전통시장,커피·음료,179752320.1818182
2016,3,전통시장,패스트푸드점,184509466.55555555
2016,3,전통시장,한식음식점,777252702.2089552
2016,4,골목상권,분식전문점,128488079.43589744
2016,4,골목상권,양식음식점,267281036.50652742
2016,4,골목상권,일식음식점,178767260.18969554
2016,4,골목상권,중식음식점,158133398.7678832
2016,4,골목상권,치킨전문점,137906181.53052917
2016,4,골목상권,커피·음료,157032688.95100224
2016,4,골목상권,패스트푸드점,144684729.56332704
2016,4,골목상권,한식음식점,956848164.2008032
2016,4,관광특구,분식전문점,3892243436.1666665
2016,4,관광특구,양식음식점,9895797389.166666
2016,4,관광특구,일식음식점,4183514588.0
2016,4,관광특구,중식음식점,2613676859.3333335
2016,4,관광특구,치킨전문점,1167024501.8333333
2016,4,관광특구,커피·음료,9661547230.166666
2016,4,관광특구,패스트푸드점,3050173380.6666665
2016,4,관광특구,한식음식점,29876772614.166668
2016,4,발달상권,분식전문점,869578549.079832
2016,4,발달상권,양식음식점,1371541276.6995075
2016,4,발달상권,일식음식점,1029832085.9859155
2016,4,발달상권,중식음식점,585730313.731132
2016,4,발달상권,치킨전문점,466830316.2209945
2016,4,발달상권,커피·음료,1521895108.748
2016,4,발달상권,패스트푸드점,596324812.9421053
2016,4,발달상권,한식음식점,5814745905.964286
2016,4,전통시장,분식전문점,149591900.84472048
2016,4,전통시장,양식음식점,312033578.95454544
2016,4,전통시장,일식음식점,169798487.48387095
2016,4,전통시장,중식음식점,109296488.6590909
2016,4,전통시장,치킨전문점,102375641.95833333
2016,4,전통시장,커피·음료,159834390.31666666
2016,4,전통시장,패스트푸드점,196486147.5479452
2016,4,전통시장,한식음식점,869619065.0247525
2017,1,골목상권,분식전문점,121333173.37119438
2017,1,골목상권,양식음식점,255515170.35543767
2017,1,골목상권,일식음식점,173056648.96941176
2017,1,골목상권,중식음식점,159691701.18991098
2017,1,골목상권,치킨전문점,129169242.92213115
2017,1,골목상권,커피·음료,150044066.9698324
2017,1,골목상권,패스트푸드점,138072550.4647619
2017,1,골목상권,한식음식점,894602511.5522088
2017,1,관광특구,분식전문점,3711676395.5
2017,1,관광특구,양식음식점,8920907652.5
2017,1,관광특구,일식음식점,4104482342.1666665
2017,1,관광특구,중식음식점,2462744755.0
2017,1,관광특구,치킨전문점,1018388459.8333334
2017,1,관광특구,커피·음료,9127580314.666666
2017,1,관광특구,패스트푸드점,2637117064.1666665
2017,1,관광특구,한식음식점,27418765031.333332
2017,1,발달상권,분식전문점,844990273.7478992
2017,1,발달상권,양식음식점,1300778184.8762376
2017,1,발달상권,일식음식점,1018440778.9436619
2017,1,발달상권,중식음식점,574483864.4019139
2017,1,발달상권,치킨전문점,445266096.28333336
2017,1,발달상권,커피·음료,1479122420.1
2017,1,발달상권,패스트푸드점,583319310.0418848
2017,1,발달상권,한식음식점,5474646688.50996
2017,1,전통시장,분식전문점,144614101.9627329
2017,1,전통시장,양식음식점,318082447.46511626
2017,1,전통시장,일식음식점,192400212.72413793
2017,1,전통시장,중식음식점,116754206.22988506
2017,1,전통시장,치킨전문점,95307760.40495868
2017,1,전통시장,커피·음료,158301378.72881356
2017,1,전통시장,패스트푸드점,199671170.95774648
2017,1,전통시장,한식음식점,836800300.1182266
2017,2,골목상권,분식전문점,138565083.41813898
2017,2,골목상권,양식음식점,287449433.8912467
2017,2,골목상권,일식음식점,181951566.3904762
2017,2,골목상권,중식음식점,159994081.08579883
2017,2,골목상권,치킨전문점,144506119.05117565
2017,2,골목상권,커피·음료,186138916.88789237
2017,2,골목상권,패스트푸드점,145515186.24710426
2017,2,골목상권,한식음식점,950668544.5919598
2017,2,관광특구,분식전문점,3918633018.0
2017,2,관광특구,양식음식점,9270386887.666666
2017,2,관광특구,일식음식점,4006907261.3333335
2017,2,관광특구,중식음식점,2151015550.1666665
2017,2,관광특구,치킨전문점,1072203226.3333334
2017,2,관광특구,커피·음료,10354471107.666666
2017,2,관광특구,패스트푸드점,2917918057.3333335
2017,2,관광특구,한식음식점,26910588517.333332
2017,2,발달상권,분식전문점,887409347.5168067
2017,2,발달상권,양식음식점,1293408774.0348258
2017,2,발달상권,일식음식점,1007057970.492891
2017,2,발달상권,중식음식점,526530853.5809524
