STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
2014,1,A,골목상권,1000875,신반포로45길,상권축소,99,41,91,44
2014,1,A,골목상권,1000819,신림로48길,정체,128,54,91,44
2014,1,A,골목상권,1000325,도봉로8길,정체,96,45,91,44
2014,1,A,골목상권,1000973,구천면로42길,정체,101,47,91,44
2014,1,A,골목상권,1000020,지봉로8길,정체,98,49,91,44
2014,1,A,골목상권,1000906,도산대로23길,상권확장,69,45,91,44
2014,1,A,골목상권,1000886,강남대로118길,다이나믹,81,34,91,44
2014,1,A,골목상권,1000810,복은길,다이나믹,79,41,91,44
2014,1,A,골목상권,1000714,신길로17길,상권축소,97,40,91,44
2014,1,A,골목상권,1000303,종암로24가길,정체,105,51,91,44
2014,1,A,골목상권,1000291,개운사길,다이나믹,79,44,91,44
2014,1,A,골목상권,1000157,용마산로3길,다이나믹,90,44,91,44
2014,1,A,골목상권,1000127,광나루로12길,상권축소,108,38,91,44
2014,1,A,골목상권,1000125,한림말3길,상권확장,76,46,91,44
2014,1,A,골목상권,1000098,무수막길,정체,93,53,91,44
2014,1,A,골목상권,1000102,사근동길,상권확장,90,64,91,44
2014,1,A,골목상권,1000541,은행정로7길,다이나믹,88,37,91,44
2014,1,A,골목상권,1000502,월드컵로36길,상권확장,84,46,91,44
2014,1,A,골목상권,1000695,대림로34길,상권축소,96,41,91,44
2014,1,A,골목상권,1000706,도신로62길,정체,106,47,91,44
2014,1,A,골목상권,1000445,연희로10길,상권확장,75,58,91,44
2014,1,A,골목상권,1000429,진흥로12길,정체,97,50,91,44
2014,1,A,골목상권,1000393,갈현로7길,다이나믹,83,42,91,44
2014,1,A,골목상권,1000790,난곡로26길,정체,104,46,91,44
2014,1,A,골목상권,1000550,화곡로3길,상권축소,99,39,91,44
2014,1,A,골목상권,1000676,시흥대로22길,정체,120,56,91,44
2014,1,A,골목상권,1000735,국사봉길,정체,97,47,91,44
2014,1,R,전통시장,1001396,목4동시장,다이나믹,84,39,91,44
2014,1,A,골목상권,1000691,당산로46길,상권축소,93,43,91,44
2014,1,A,골목상권,1000710,선유로55길,정체,104,49,91,44
2014,1,A,골목상권,1000570,곰달래로31길,다이나믹,79,43,91,44
2014,1,A,골목상권,1000562,강서로47라길,다이나믹,77,41,91,44
2014,1,A,골목상권,1000736,노량진로6길,정체,129,49,91,44
2014,1,A,골목상권,1000085,회나무로13길,다이나믹,81,40,91,44
2014,1,A,골목상권,1000057,백범로79길,상권확장,86,49,91,44
2014,1,A,골목상권,1000060,소월로20길,상권확장,78,46,91,44
2014,1,A,골목상권,1000489,신촌로28가길,정체,141,62,91,44
2014,1,A,골목상권,1000242,면목로33길,다이나믹,89,42,91,44
2014,1,R,전통시장,1001404,신정제일시장,정체,111,46,91,44
2014,1,D,발달상권,1001084,서울 강남구 선릉역_1,다이나믹,84,43,91,44
2014,1,D,발달상권,1001202,롯데백화점,정체,103,77,91,44
2014,1,A,골목상권,1000799,남부순환로234길,상권확장,81,46,91,44
2014,1,D,발달상권,1001031,서울 관악구 신림역_1,정체,93,50,91,44
2014,1,D,발달상권,1001125,학동사거리_2,다이나믹,78,37,91,44
2014,1,D,발달상권,1001051,보라매공원,상권확장,81,46,91,44
2014,1,D,발달상권,1001052,뱅뱅사거리_2,다이나믹,79,37,91,44
2014,1,A,골목상권,1000084,한남대로20길,다이나믹,55,43,91,44
2014,1,A,골목상권,1000614,개봉로23가길,상권확장,90,49,91,44
2014,1,D,발달상권,1001124,서울 영등포구 영등포시장역,정체,126,49,91,44
2014,1,D,발달상권,1001139,서울 영등포구 영등포구청역,다이나믹,85,40,91,44
2014,1,A,골목상권,1000780,관악로10길,상권확장,80,52,91,44
2014,1,A,골목상권,1000529,목동중앙서로7길,다이나믹,81,39,91,44
2014,1,R,전통시장,1001358,수유북부시장,다이나믹,82,40,91,44
2014,1,D,발달상권,1001132,영등포유통상가,상권축소,97,43,91,44
2014,1,R,전통시장,1001477,마천시장,정체,107,50,91,44
2014,1,A,골목상권,1000997,올림픽로80길,상권확장,88,46,91,44
2014,1,A,골목상권,1000643,디지털로32가길,상권확장,68,46,91,44
2014,1,A,골목상권,1000938,학동로6길,다이나믹,70,43,91,44
2014,1,A,골목상권,1000036,동호로15길,다이나믹,91,35,91,44
2014,1,A,골목상권,1000293,인촌로5길,상권확장,86,46,91,44
2014,1,R,전통시장,1001423,독산동 우시장,정체,136,64,91,44
2014,1,R,전통시장,1001385,아현시장,정체,136,48,91,44
2014,1,A,골목상권,1000551,화곡로4길,정체,92,50,91,44
2014,1,A,골목상권,1000117,왕십리로21길,정체,103,51,91,44
2014,1,A,골목상권,1000732,영신로9길,상권확장,89,45,91,44
2014,1,A,골목상권,1000704,도신로29길,상권축소,93,42,91,44
2014,1,A,골목상권,1000841,양지길,상권축소,133,43,91,44
2014,1,A,골목상권,1000431,통일로69길,다이나믹,78,42,91,44
2014,1,A,골목상권,1000438,모래내로15길,정체,126,51,91,44
2014,1,A,골목상권,1000454,통일로37길,정체,96,51,91,44
2014,1,D,발달상권,1001184,서울 마포구 홍대입구역_3,상권확장,75,48,91,44
2014,1,D,발달상권,1001142,국회의사당역_1,정체,113,56,91,44
2014,1,R,전통시장,1001483,암사종합시장,다이나믹,90,44,91,44
2014,1,A,골목상권,1000685,경인로80길,정체,95,59,91,44
2014,1,A,골목상권,1000937,학동로56길,다이나믹,76,42,91,44
2014,1,A,골목상권,1000336,솔매로45길,다이나믹,85,43,91,44
2014,1,R,전통시장,1001362,백운시장,상권확장,85,47,91,44
2014,1,R,전통시장,1001296,금남시장,정체,116,57,91,44
2014,1,D,발달상권,1001021,가산디지털단지역_1,다이나믹,59,42,91,44
2014,1,R,전통시장,1001375,증산종합시장,정체,112,52,91,44
2014,1,R,전통시장,1001434,양남시장,상권축소,217,40,91,44
2014,1,R,전통시장,1001487,천호시장,정체,127,53,91,44
2014,1,R,전통시장,1001310,구의시장,정체,233,76,91,44
2014,1,R,전통시장,1001475,강남개포시장,상권확장,76,44,91,44
2014,1,R,전통시장,1001346,석관시장,정체,95,46,91,44
2014,1,R,전통시장,1001430,영등포전통시장,정체,92,50,91,44
2014,1,U,관광특구,1001495,잠실 관광특구,상권확장,85,47,91,44
2014,1,D,발달상권,1001015,서울 금천구 독산1동_1,다이나믹,72,42,91,44
2014,1,D,발달상권,1001085,서울 서초구 강남역,다이나믹,75,40,91,44
2014,1,D,발달상권,1001109,강남구 논현역_4,다이나믹,88,41,91,44
2014,1,D,발달상권,1001242,혜화역 대학로_3,상권확장,91,48,91,44
2014,1,A,골목상권,1000942,마천로51길,상권축소,99,43,91,44
2014,1,D,발달상권,1001201,서울 중구 신당역_1,정체,100,47,91,44
2014,1,R,전통시장,1001450,남성역골목시장,상권축소,95,41,91,44
2014,1,D,발달상권,1001227,종로구청,정체,106,55,91,44
2014,1,A,골목상권,1000764,서달로15길,정체,108,49,91,44
2014,1,A,골목상권,1000066,원효로41길,정체,107,46,91,44
2014,1,A,골목상권,1000592,양천로24가길,상권축소,97,38,91,44
2014,1,D,발달상권,1001089,삼정역_1,다이나믹,87,40,91,44
2014,1,D,발달상권,1001155,용산 전자상가_5,상권축소,108,43,91,44
2014,1,A,골목상권,1000477,매봉산로2길,상권확장,73,49,91,44
2014,1,R,전통시장,1001411,남부골목시장,다이나믹,90,44,91,44
2014,1,A,골목상권,1001002,천중로51길,다이나믹,75,38,91,44
2014,1,A,골목상권,1000910,도산대로81길,다이나믹,74,42,91,44
2014,1,A,골목상권,1000543,중앙로32길,다이나믹,83,38,91,44
2014,1,D,발달상권,1001182,홍익대학교 주변,다이나믹,66,40,91,44
2014,1,D,발달상권,1001162,서울 광진구 건대입구역_1,상권확장,83,48,91,44
2014,1,A,골목상권,1000935,테헤란로81길,다이나믹,87,41,91,44
2014,1,A,골목상권,1000526,목동중앙본로7길,상권확장,80,48,91,44
2014,1,A,골목상권,1000782,관악로28길,다이나믹,77,44,91,44
2014,1,A,골목상권,1000352,노해로60길,상권축소,97,42,91,44
